text,label_text,label,clean_text
قَالَ سَنَشُدُّ عَضُدَكَ بِأَخِيكَ وَنَجْعَلُ لَكُمَا سُلْطَانًا [SEP] سَنَشُدُّ عَضُدَكَ,High,2,قال سنشد عضدك باخيك ونجعل لكما سلطانا [SEP] سنشد عضدك
رَفِيعُ الدَّرَجَاتِ ذُو الْعَرْشِ يُلْقِي الرُّوحَ مِنْ أَمْرِهِ عَلَىٰ مَن يَشَاءُ مِنْ عِبَادِهِ لِيُنذِرَ يَوْمَ التَّلَاقِ [SEP] يُلْقِي الرُّوحَ مِنْ أَمْرِهِ,Medium,1,رفيع الدرجات ذو العرش يلقي الروح من امره علا من يشاء من عباده لينذر يوم التلاق [SEP] يلقي الروح من امره
أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ [SEP] أُولَٰئِكَ عَلَىٰ هُدًى,Medium,1,اولائك علا هدا من ربهم ۖ واولائك هم المفلحون [SEP] اولائك علا هدا
بَلْ نَقْذِفُ بِٱلْحَقِّ عَلَى ٱلْبَٰطِلِ فَيَدْمَغُهُۥ فَإِذَا هُوَ زَاهِقٌ [SEP] بَلْ نَقْذِفُ بِالْحَقِّ عَلَى الْبَاطِلِ فَيَدْمَغُهُ فَإِذَا هُوَ زَاهِقٌ,High,2,بل نقذف بالحق علا الباطل فيدمغهۥ فاذا هو زاهق [SEP] بل نقذف بالحق علا الباطل فيدمغه فاذا هو زاهق
وَنَزَعْنَا مَا فِى صُدُورِهِم مِّنْ غِلٍّ تَجْرِى مِن تَحْتِهِمُ ٱلْأَنْهَٰرُ ۖ وَقَالُوا۟ ٱلْحَمْدُ لِلَّهِ ٱلَّذِى هَدَىٰنَا لِهَٰذَا وَمَا كُنَّا لِنَهْتَدِىَ لَوْلَآ أَنْ هَدَىٰنَا ٱللَّهُ ۖ لَقَدْ جَآءَتْ رُسُلُ رَبِّنَا بِٱلْحَقِّ ۖ وَنُودُوٓا۟ أَن تِلْكُمُ ٱلْجَنَّةُ أُورِثْتُمُوهَا بِمَا كُنتُمْ تَعْمَلُونَ [SEP] وَنَزَعْنَا مَا فِى صُدُورِهِم مِّنْ غِلٍّ,Medium,1,ونزعنا ما فا صدورهم من غل تجرا من تحتهم الانهار ۖ وقالوا۟ الحمد لله الذا هدانا لهاذا وما كنا لنهتدا لولآ ان هدانا الله ۖ لقد جآءت رسل ربنا بالحق ۖ ونودوٓا۟ ان تلكم الجنة اورثتموها بما كنتم تعملون [SEP] ونزعنا ما فا صدورهم من غل
وَتَرَى الشَّمْسَ إِذَا طَلَعَت تَّزَاوَرُ عَن كَهْفِهِمْ ذَاتَ الْيَمِينِ وَإِذَا غَرَبَت تَّقْرِضُهُمْ ذَاتَ الشِّمَالِ وَهُمْ فِي فَجْوَةٍ مِّنْهُ ۚ ذَٰلِكَ مِنْ آيَاتِ اللَّهِ ۗ مَن يَهْدِ اللَّهُ فَهُوَ الْمُهْتَدِ ۖ وَمَن يُضْلِلْ فَلَن تَجِدَ لَهُ وَلِيًّا مُّرْشِدًا [SEP] تَزَاوَرُ عَن كَهْفِهِمْ ... تَقْرِضُهُمْ ذَاتَ الشِّمَالِ,Medium,1,وترا الشمس اذا طلعت تزاور عن كهفهم ذات اليمين واذا غربت تقرضهم ذات الشمال وهم في فجوة منه ۚ ذالك من ايات الله ۗ من يهد الله فهو المهتد ۖ ومن يضلل فلن تجد له وليا مرشدا [SEP] تزاور عن كهفهم ... تقرضهم ذات الشمال
قُلْ يَٰٓأَهْلَ ٱلْكِتَٰبِ لِمَ تَصُدُّونَ عَن سَبِيلِ ٱللَّهِ مَنْ ءَامَنَ تَبْغُونَهَا عِوَجًا وَأَنتُمْ شُهَدَآءُ ۗ وَمَا ٱللَّهُ بِغَٰفِلٍ عَمَّا تَعْمَلُونَ [SEP] تَصُدُّونَ عَن سَبِيلِ ٱللَّهِ... تَبْغُونَهَا عِوَجًا,Medium,1,قل يآاهل الكتاب لم تصدون عن سبيل الله من ءامن تبغونها عوجا وانتم شهدآء ۗ وما الله بغافل عما تعملون [SEP] تصدون عن سبيل الله... تبغونها عوجا
وَلَقَدْ أَخَذَ ٱللَّهُ مِيثَٰقَ بَنِىٓ إِسْرَٰٓءِيلَ وَبَعَثْنَا مِنْهُمُ ٱثْنَىْ عَشَرَ نَقِيبًا ۖ وَقَالَ ٱللَّهُ إِنِّى مَعَكُمْ ۖ لَئِنْ أَقَمْتُمُ ٱلصَّلَوٰةَ وَءَاتَيْتُمُ ٱلزَّكَوٰةَ وَءَامَنتُم بِرُسُلِى وَعَزَّرْتُمُوهُمْ وَأَقْرَضْتُمُ ٱللَّهَ قَرْضًا حَسَنًا لَّأُكَفِّرَنَّ عَنكُمْ سَيِّـَٔاتِكُمْ وَلَأُدْخِلَنَّكُمْ جَنَّٰتٍ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَٰرُ ۚ فَمَن كَفَرَ بَعْدَ ذَٰلِكَ مِنكُمْ فَقَدْ ضَلَّ سَوَآءَ ٱلسَّبِيلِ [SEP] وَأَقْرَضْتُمُ ٱللَّهَ قَرْضًا حَسَنًا,Low,0,ولقد اخذ الله ميثاق بنآ اسرآءيل وبعثنا منهم اثنا عشر نقيبا ۖ وقال الله انا معكم ۖ لئن اقمتم الصلواة وءاتيتم الزكواة وءامنتم برسلا وعزرتموهم واقرضتم الله قرضا حسنا لاكفرن عنكم سيـٔاتكم ولادخلنكم جنات تجرا من تحتها الانهار ۚ فمن كفر بعد ذالك منكم فقد ضل سوآء السبيل [SEP] واقرضتم الله قرضا حسنا
فَبِمَا رَحْمَةٍ مِّنَ ٱللَّهِ لِنتَ لَهُمْ ۖ وَلَوْ كُنتَ فَظًّا غَلِيظَ ٱلْقَلْبِ لَٱنفَضُّوا۟ مِنْ حَوْلِكَ ۖ فَٱعْفُ عَنْهُمْ وَٱسْتَغْفِرْ لَهُمْ وَشَاوِرْهُمْ فِى ٱلْأَمْرِ ۖ فَإِذَا عَزَمْتَ فَتَوَكَّلْ عَلَى ٱللَّهِ ۚ إِنَّ ٱللَّهَ يُحِبُّ ٱلْمُتَوَكِّلِينَ [SEP] وَلَوْ كُنتَ فَظًّا غَلِيظَ ٱلْقَلْبِ,Medium,1,فبما رحمة من الله لنت لهم ۖ ولو كنت فظا غليظ القلب لانفضوا۟ من حولك ۖ فاعف عنهم واستغفر لهم وشاورهم فا الامر ۖ فاذا عزمت فتوكل علا الله ۚ ان الله يحب المتوكلين [SEP] ولو كنت فظا غليظ القلب
وَلِسُلَيۡمَٰنَ ٱلرِّيحَ عَاصِفَةٗ تَجۡرِي بِأَمۡرِهِۦٓ إِلَى ٱلۡأَرۡضِ ٱلَّتِي بَٰرَكۡنَا فِيهَاۚ وَكُنَّا بِكُلِّ شَيۡءٍ عَٰلِمِينَ [SEP] تَجْرِي بِأَمْرِهِ,Medium,1,ولسليۡمان الريح عاصفةٗ تجۡري بامۡرهۦٓ الا الۡارۡض التي باركۡنا فيهاۚ وكنا بكل شيۡء عالمين [SEP] تجري بامره
وَمَنْ أَعْرَضَ عَن ذِكْرِي فَإِنَّ لَهُ مَعِيشَةً ضَنكًا وَنَحْشُرُهُ يَوْمَ الْقِيَامَةِ أَعْمَىٰ [SEP] وَنَحْشُرُهُ يَوْمَ الْقِيَامَةِ أَعْمَىٰ,Medium,1,ومن اعرض عن ذكري فان له معيشة ضنكا ونحشره يوم القيامة اعما [SEP] ونحشره يوم القيامة اعما
